balanced 0 test_flag 0
[283] Ep10000: 1532 steps (0.0004 hrs) 11 sec, Max 29919 steps
[284] Ep10000: 2169 steps (0.0006 hrs) 14 sec, Max 29919 steps
[285] Ep10000: 2305 steps (0.0006 hrs) 11 sec, Max 29919 steps
[286] Ep10000: 2521 steps (0.0007 hrs) 24 sec, Max 29919 steps
[287] Ep10000: 2107 steps (0.0006 hrs) 24 sec, Max 29919 steps
[288] Ep10000: 3202 steps (0.0009 hrs) 21 sec, Max 29919 steps
[289] Ep10000: 3454 steps (0.0010 hrs) 20 sec, Max 29919 steps
[290] Ep10000: 1632 steps (0.0005 hrs) 11 sec, Max 29919 steps
[291] Ep10000: 1756 steps (0.0005 hrs) 11 sec, Max 29919 steps
[292] Ep10000: 1657 steps (0.0005 hrs) 18 sec, Max 29919 steps
[293] Ep10000: 2192 steps (0.0006 hrs) 24 sec, Max 29919 steps
[294] Ep10000: 1917 steps (0.0005 hrs) 12 sec, Max 29919 steps
[295] Ep10000: 2734 steps (0.0008 hrs) 17 sec, Max 29919 steps
[296] Ep10000: 2140 steps (0.0006 hrs) 14 sec, Max 29919 steps
[297] Ep10000: 1607 steps (0.0004 hrs) 14 sec, Max 29919 steps
[298] Ep10000: 2197 steps (0.0006 hrs) 24 sec, Max 29919 steps
[299] Ep10000: 1618 steps (0.0004 hrs) 18 sec, Max 29919 steps
[300] Ep10000: 2265 steps (0.0006 hrs) 20 sec, Max 29919 steps
[301] Ep10000: 1757 steps (0.0005 hrs) 12 sec, Max 29919 steps
[302] Ep10000: 1932 steps (0.0005 hrs) 13 sec, Max 29919 steps
[303] Ep10000: 1745 steps (0.0005 hrs) 12 sec, Max 29919 steps
[304] Ep10000: 1923 steps (0.0005 hrs) 12 sec, Max 29919 steps
[305] Ep10000: 1794 steps (0.0005 hrs) 12 sec, Max 29919 steps
[306] Ep10000: 2523 steps (0.0007 hrs) 24 sec, Max 29919 steps
[307] Ep10000: 2174 steps (0.0006 hrs) 13 sec, Max 29919 steps
[308] Ep10000: 2630 steps (0.0007 hrs) 25 sec, Max 29919 steps
[309] Ep10000: 4364 steps (0.0012 hrs) 26 sec, Max 29919 steps
[310] Ep10000: 1827 steps (0.0005 hrs) 24 sec, Max 29919 steps
[311] Ep10000: 2824 steps (0.0008 hrs) 20 sec, Max 29919 steps
[312] Ep10000: 1533 steps (0.0004 hrs) 11 sec, Max 29919 steps
[313] Ep10000: 2639 steps (0.0007 hrs) 24 sec, Max 29919 steps
[314] Ep10000: 1483 steps (0.0004 hrs) 11 sec, Max 29919 steps
[315] Ep10000: 2366 steps (0.0007 hrs) 11 sec, Max 29919 steps
[316] Ep10000: 2289 steps (0.0006 hrs) 21 sec, Max 29919 steps
[317] Ep10000: 2141 steps (0.0006 hrs) 14 sec, Max 29919 steps
[318] Ep10000: 1870 steps (0.0005 hrs) 12 sec, Max 29919 steps
[319] Ep10000: 2433 steps (0.0007 hrs) 12 sec, Max 29919 steps
[320] Ep10000: 3776 steps (0.0010 hrs) 21 sec, Max 29919 steps
[321] Ep10000: 2360 steps (0.0007 hrs) 24 sec, Max 29919 steps
[322] Ep10000: 2419 steps (0.0007 hrs) 16 sec, Max 29919 steps
[323] Ep10000: 15880 steps (0.0044 hrs) 24 sec, Max 29919 steps
[324] Ep10000: 2030 steps (0.0006 hrs) 26 sec, Max 29919 steps
[325] Ep10000: 1700 steps (0.0005 hrs) 14 sec, Max 29919 steps
[326] Ep10000: 1851 steps (0.0005 hrs) 18 sec, Max 29919 steps
[327] Ep10000: 2079 steps (0.0006 hrs) 13 sec, Max 29919 steps
[328] Ep10000: 2267 steps (0.0006 hrs) 20 sec, Max 29919 steps
[329] Ep10000: 1912 steps (0.0005 hrs) 13 sec, Max 29919 steps
[330] Ep10000: 1855 steps (0.0005 hrs) 13 sec, Max 29919 steps
[331] Ep10000: 1592 steps (0.0004 hrs) 12 sec, Max 29919 steps
[332] Ep10000: 2252 steps (0.0006 hrs) 19 sec, Max 29919 steps
[333] Ep10000: 2476 steps (0.0007 hrs) 24 sec, Max 29919 steps
