balanced 0 test_flag 0
[318] Ep10000: 2143 steps (0.0006 hrs) 25 sec, Max 13149 steps
[319] Ep10000: 2294 steps (0.0006 hrs) 16 sec, Max 13149 steps
[320] Ep10000: 1657 steps (0.0005 hrs) 16 sec, Max 13149 steps
[321] Ep10000: 2116 steps (0.0006 hrs) 19 sec, Max 13149 steps
[322] Ep10000: 1562 steps (0.0004 hrs) 16 sec, Max 13149 steps
[323] Ep10000: 1327 steps (0.0004 hrs) 15 sec, Max 13149 steps
[324] Ep10000: 2196 steps (0.0006 hrs) 25 sec, Max 13149 steps
[325] Ep10000: 2006 steps (0.0006 hrs) 17 sec, Max 13149 steps
[326] Ep10000: 1788 steps (0.0005 hrs) 16 sec, Max 13149 steps
[327] Ep10000: 4988 steps (0.0014 hrs) 25 sec, Max 13149 steps
[328] Ep10000: 2251 steps (0.0006 hrs) 17 sec, Max 13149 steps
[329] Ep10000: 1667 steps (0.0005 hrs) 16 sec, Max 13149 steps
[330] Ep10000: 2414 steps (0.0007 hrs) 18 sec, Max 13149 steps
[331] Ep10000: 2608 steps (0.0007 hrs) 17 sec, Max 13149 steps
[332] Ep10000: 2314 steps (0.0006 hrs) 17 sec, Max 13149 steps
[333] Ep10000: 1921 steps (0.0005 hrs) 17 sec, Max 13149 steps
[334] Ep10000: 2199 steps (0.0006 hrs) 16 sec, Max 13149 steps
[335] Ep10000: 4279 steps (0.0012 hrs) 18 sec, Max 13149 steps
[336] Ep10000: 2567 steps (0.0007 hrs) 26 sec, Max 13149 steps
[337] Ep10000: 3912 steps (0.0011 hrs) 17 sec, Max 13149 steps
[338] Ep10000: 1656 steps (0.0005 hrs) 18 sec, Max 13149 steps
[339] Ep10000: 1593 steps (0.0004 hrs) 16 sec, Max 13149 steps
[340] Ep10000: 6137 steps (0.0017 hrs) 27 sec, Max 13149 steps
[341] Ep10000: 6135 steps (0.0017 hrs) 29 sec, Max 13149 steps
[342] Ep10000: 2009 steps (0.0006 hrs) 16 sec, Max 13149 steps
[343] Ep10000: 7147 steps (0.0020 hrs) 25 sec, Max 13149 steps
[344] Ep10000: 1761 steps (0.0005 hrs) 25 sec, Max 13149 steps
[345] Ep10000: 2097 steps (0.0006 hrs) 16 sec, Max 13149 steps
[346] Ep10000: 4559 steps (0.0013 hrs) 27 sec, Max 13149 steps
[347] Ep10000: 1952 steps (0.0005 hrs) 17 sec, Max 13149 steps
[348] Ep10000: 2450 steps (0.0007 hrs) 25 sec, Max 13149 steps
