balanced 0 test_flag 0
[Run 294] Ep10000: 1555 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 295] Ep10000: 1996 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 296] Ep10000: 1844 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 297] Ep10000: 4661 steps (0.0013 hrs) 25 sec, Max 28836 steps
[Run 298] Ep10000: 1843 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 299] Ep10000: 2424 steps (0.0007 hrs) 25 sec, Max 28836 steps
[Run 300] Ep10000: 3388 steps (0.0009 hrs) 27 sec, Max 28836 steps
[Run 301] Ep10000: 13125 steps (0.0036 hrs) 22 sec, Max 28836 steps
[Run 302] Ep10000: 4691 steps (0.0013 hrs) 32 sec, Max 28836 steps
[Run 303] Ep10000: 3579 steps (0.0010 hrs) 26 sec, Max 28836 steps
[Run 304] Ep10000: 2535 steps (0.0007 hrs) 22 sec, Max 28836 steps
[Run 305] Ep10000: 1587 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 306] Ep10000: 1795 steps (0.0005 hrs) 17 sec, Max 28836 steps
[Run 307] Ep10000: 1999 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 308] Ep10000: 1497 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 309] Ep10000: 3111 steps (0.0009 hrs) 25 sec, Max 28836 steps
[Run 310] Ep10000: 1351 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 311] Ep10000: 3246 steps (0.0009 hrs) 20 sec, Max 28836 steps
[Run 312] Ep10000: 2087 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 313] Ep10000: 1752 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 314] Ep10000: 1602 steps (0.0004 hrs) 14 sec, Max 28836 steps
[Run 315] Ep10000: 2266 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 316] Ep10000: 2348 steps (0.0007 hrs) 15 sec, Max 28836 steps
[Run 317] Ep10000: 3691 steps (0.0010 hrs) 27 sec, Max 28836 steps
[Run 318] Ep10000: 2259 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 319] Ep10000: 1754 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 320] Ep10000: 2560 steps (0.0007 hrs) 16 sec, Max 28836 steps
[Run 321] Ep10000: 2014 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 322] Ep10000: 3581 steps (0.0010 hrs) 26 sec, Max 28836 steps
[Run 323] Ep10000: 1971 steps (0.0005 hrs) 16 sec, Max 28836 steps
